group;distance;beetle;inter;intra;fly
seed_fruit;6m;0.876;NA;NA;1.334
seed_fruit;3m;0.907;NA;NA;1.403
seed_fruit;1m;0.895;NA;NA;1.387
seed_fruit;7.5cm;2.105;NA;NA;5.058
seed_total;6m;NA;-0.262;0.115;NA
seed_total;3m;NA;-0.254;0.129;NA
seed_total;1m;NA;-0.225;0.08;NA
seed_total;7.5cm;NA;-0.321;-0.137;NA
beetle;6m;NA;-0.393;0.159;NA
beetle;3m;NA;-0.38;0.167;NA
beetle;1m;NA;-0.363;0.094;NA
beetle;7.5cm;NA;-0.215;-0.018;NA
fly;6m;NA;NA;0.069;NA
fly;3m;NA;NA;0.049;NA
fly;1m;NA;NA;0.059;NA
fly;7.5cm;NA;NA;-0.034;NA
flower;6m;NA;-0.382;0.077;NA
flower;3m;NA;-0.336;0.152;NA
flower;1m;NA;-0.328;0.187;NA
flower;7.5cm;NA;-0.184;0.016;NA
