Day_Recogida;Month_Recogida;Year_Recogida;Day_Analysis;Month_Analysis;Year_Analysis;SELFING;PLANT;ID;VIABLES_SEEDS;NO_VIABLES_SEEDS;TOTAL_SEEDS;%viable_seeds;TOTAL_VIABLE SEEDS_yes/no_SELFING
11;4;2019;27;5;2019;NO;LEMA;1;38;56;94;40,43;443
11;4;2019;27;5;2019;NO;LEMA;2;57;13;70;81,43;443
11;4;2019;27;5;2019;NO;LEMA;3;45;13;58;77,59;443
11;4;2019;27;5;2019;NO;LEMA;4;35;48;83;42,17;443
11;4;2019;27;5;2019;NO;LEMA;5;50;2;52;96,15;443
11;4;2019;27;5;2019;NO;LEMA;6;30;25;55;54,55;443
11;4;2019;27;5;2019;NO;LEMA;7;38;5;43;88,37;443
11;4;2019;27;5;2019;NO;LEMA;8;80;14;94;85,11;443
11;4;2019;27;5;2019;NO;LEMA;9;51;17;68;75,00;443
11;4;2019;27;5;2019;NO;LEMA;10;19;0;19;100,00;443
11;4;2019;29;5;2019;YES;LEMA;1;36;2;38;94,74;485
11;4;2019;29;5;2019;YES;LEMA;2;27;18;45;60,00;485
11;4;2019;29;5;2019;YES;LEMA;3;91;8;99;91,92;485
11;4;2019;29;5;2019;YES;LEMA;4;26;4;30;86,67;485
11;4;2019;29;5;2019;YES;LEMA;5;42;9;51;82,35;485
11;4;2019;29;5;2019;YES;LEMA;6;56;4;60;93,33;485
11;4;2019;29;5;2019;YES;LEMA;7;48;10;58;82,76;485
11;4;2019;29;5;2019;YES;LEMA;8;80;5;85;94,12;485
11;4;2019;29;5;2019;YES;LEMA;9;39;6;45;86,67;485
11;4;2019;29;5;2019;YES;LEMA;10;40;2;42;95,24;485
18;3;2019;30;5;2019;NO;CHFU;1;82;7;89;92,13;681
18;3;2019;30;5;2019;NO;CHFU;2;59;9;68;86,76;681
18;3;2019;30;5;2019;NO;CHFU;3;68;4;72;94,44;681
18;3;2019;30;5;2019;NO;CHFU;4;88;17;105;83,81;681
18;3;2019;30;5;2019;NO;CHFU;5;50;8;58;86,21;681
18;3;2019;30;5;2019;NO;CHFU;6;106;5;111;95,50;681
18;3;2019;30;5;2019;NO;CHFU;7;5;0;5;100,00;681
18;3;2019;30;5;2019;NO;CHFU;8;75;5;80;93,75;681
18;3;2019;30;5;2019;NO;CHFU;9;59;15;74;79,73;681
18;3;2019;30;5;2019;NO;CHFU;10;89;7;96;92,71;681
18;3;2019;30;5;2019;YES;CHFU;1;9;1;10;90,00;114
18;3;2019;30;5;2019;YES;CHFU;2;10;2;12;83,33;114
18;3;2019;30;5;2019;YES;CHFU;2,1;8;0;8;100,00;114
18;3;2019;30;5;2019;YES;CHFU;3;8;3;11;72,73;114
18;3;2019;30;5;2019;YES;CHFU;4;6;0;6;100,00;114
18;3;2019;30;5;2019;YES;CHFU;5;17;2;19;89,47;114
18;3;2019;30;5;2019;YES;CHFU;6;6;1;7;85,71;114
18;3;2019;30;5;2019;YES;CHFU;7;19;2;21;90,48;114
18;3;2019;30;5;2019;YES;CHFU;8;23;3;26;88,46;114
18;3;2019;30;5;2019;YES;CHFU;9;1;0;1;100,00;114
18;3;2019;30;5;2019;YES;CHFU;10;7;1;8;87,50;114
11;5;2019;24;6;2019;YES;PUPA;1;23;77;100;23,00;
11;5;2019;24;6;2019;YES;PUPA;2;0;29;29;0,00;
11;5;2019;24;6;2019;YES;PUPA;3;NA;NA;#¡VALOR!;#¡VALOR!;
11;5;2019;24;6;2019;YES;PUPA;4;0;34;34;0,00;
11;5;2019;24;6;2019;YES;PUPA;5;3;26;29;10,34;
11;5;2019;24;6;2019;YES;PUPA;6;1;42;43;2,33;
11;5;2019;24;6;2019;YES;PUPA;7;0;36;36;0,00;
11;5;2019;24;6;2019;YES;PUPA;8;1;27;28;3,57;
11;5;2019;24;6;2019;YES;PUPA;9;5;95;100;5,00;
11;5;2019;24;6;2019;NO;PUPA;1;0;37;37;0,00;
11;5;2019;24;6;2019;NO;PUPA;2;3;47;50;6,00;
11;5;2019;24;6;2019;NO;PUPA;3;3;35;38;7,89;
11;5;2019;24;6;2019;NO;PUPA;4;2;56;58;3,45;
11;5;2019;24;6;2019;NO;PUPA;5;0;6;6;0,00;
11;5;2019;24;6;2019;NO;PUPA;6;11;10;21;52,38;
11;5;2019;24;6;2019;NO;PUPA;7;1;33;34;2,94;
11;5;2019;24;6;2019;NO;PUPA;8;0;32;32;0,00;
11;5;2019;24;6;2019;NO;PUPA;9;1;38;39;2,56;
11;5;2019;24;6;2019;NO;PUPA;10;4;28;32;12,50;
